esd,record_time,soc,pack_voltage (V),charge_current (A),max_cell_voltage (V),min_cell_voltage (V),max_temperature (℃),min_temperature (℃),available_energy (kw),available_capacity (Ah)
1000628,1.57E+12,44.4,328.4,-22.5,3.330,3.257,36.8,34.1,3.36,99.91
1000629,1.57E+12,61.5,329.8,-22.5,3.346,3.273,33.1,30.2,4.22,79.46
1000633,1.57E+12,23.1,329.6,-22.5,3.331,3.275,33.0,29.6,6.75,62.19
1000635,1.56E+12,69.1,340.4,-22.5,3.437,3.380,33.0,30.6,21.79,95.83
1000636,1.55E+12,32.2,349.2,-22.5,3.525,3.468,36.0,33.3,25.79,72.56
1000637,1.57E+12,58.5,329.4,-22.5,3.324,3.268,37.0,34.8,6.21,83.52
1000641,1.57E+12,18.9,351.4,-22.5,3.559,3.484,33.0,29.1,5.49,75.62
1000642,1.55E+12,18.5,328.5,-22.5,3.330,3.260,34.0,32.8,5.43,75.13
1000643,1.55E+12,33.6,330.6,-22.5,3.346,3.279,33.0,30.7,4.36,109.94
1000649,1.57E+12,68.0,332.9,-22.5,3.378,3.299,34.7,31.7,9.42,117.66
1000652,1.57E+12,56.2,327.3,-22.5,3.315,3.249,35.3,31.8,2.43,119.82
1000655,1.56E+12,24.1,329.6,-22.5,3.339,3.276,37.0,35.6,8.83,61.29
1000656,1.55E+12,72.8,334.4,-22.5,3.388,3.315,33.0,29.5,6.76,87.83
1000657,1.56E+12,73.0,333.5,-38.8,3.375,3.312,33.0,29.0,4.16,76.96
1000658,1.55E+12,54.1,329.4,-22.5,3.336,3.272,33.0,30.4,11.09,104.47
1000660,1.55E+12,19.8,334.7,-22.5,3.389,3.326,35.4,33.1,3.12,67.17
1000661,1.56E+12,67.0,324.7,-22.5,3.283,3.220,33.0,29.6,18.34,114.33
1000662,1.55E+12,43.1,331.6,-22.5,3.360,3.286,33.0,30.2,9.54,76.62
1000666,1.55E+12,29.0,352.5,-22.5,3.559,3.499,33.0,31.8,22.31,94.45
1000667,1.56E+12,58.9,327.7,-22.5,3.309,3.250,37.0,34.5,2.94,106.58
1000671,1.56E+12,55.6,335.3,-22.5,3.392,3.332,33.5,29.9,23.87,83.41
1000672,1.56E+12,55.8,327.6,-22.5,3.323,3.254,35.9,32.7,2.47,73.06
1000673,1.57E+12,46.2,328.1,-22.6,3.324,3.260,33.9,32.3,2.10,118.37
1000674,1.57E+12,26.2,335.5,-22.5,3.391,3.326,36.0,34.2,3.96,99.66
1000676,1.55E+12,25.9,327.9,-22.5,3.314,3.257,34.6,31.2,7.06,77.52
1000677,1.55E+12,25.6,358.2,-22.5,3.613,3.555,36.5,35.2,1.24,92.90
1000682,1.57E+12,60.0,332.0,-22.5,3.370,3.296,33.0,29.2,1.93,65.99
1000684,1.56E+12,19.1,349.0,-22.5,3.529,3.462,36.3,34.2,2.50,80.69
1000686,1.56E+12,40.3,333.0,-22.5,3.371,3.310,35.1,31.7,8.02,118.21
1000688,1.55E+12,39.0,330.0,-22.5,3.347,3.270,37.0,35.7,4.28,69.86
1000693,1.56E+12,41.5,333.6,-22.5,3.375,3.309,33.9,32.5,6.57,87.17
1000695,1.56E+12,37.6,327.9,-22.5,3.313,3.252,32.2,30.5,24.31,61.20
1000696,1.56E+12,15.6,325.8,-22.5,3.293,3.236,33.0,31.5,6.26,117.66
1000700,1.55E+12,67.4,346.2,-22.5,3.509,3.442,33.0,30.3,8.16,93.93
1000702,1.56E+12,51.7,343.7,-22.5,3.473,3.417,35.0,33.7,8.60,65.86
1000704,1.56E+12,15.9,335.9,-22.5,3.394,3.332,33.0,29.8,6.55,75.09
1000706,1.56E+12,52.0,339.5,-22.5,3.433,3.373,36.5,33.7,10.61,61.79
1000707,1.56E+12,20.2,332.4,-22.5,3.355,3.302,35.6,32.4,7.33,63.14
1000709,1.56E+12,33.0,340.3,-22.5,3.442,3.373,37.0,33.1,1.01,61.57
1000710,1.56E+12,62.3,353.0,-22.5,3.579,3.500,36.0,32.2,10.61,97.69
1000711,1.55E+12,54.0,346.4,-22.5,3.504,3.437,33.0,32.0,9.73,112.18
1000712,1.56E+12,69.9,354.7,-22.5,3.593,3.522,34.8,32.6,6.41,115.90
1000713,1.56E+12,15.6,343.2,-22.5,3.480,3.406,37.0,35.4,4.56,106.06
1000714,1.56E+12,27.6,340.1,-22.5,3.447,3.377,35.1,34.0,9.49,108.43
1000717,1.55E+12,28.5,337.1,-22.5,3.414,3.345,37.0,35.9,5.47,61.95
1000720,1.56E+12,54.3,324.3,-22.5,3.275,3.223,37.0,33.1,4.67,93.39
1000722,1.56E+12,67.5,328.3,-22.5,3.329,3.258,36.4,34.3,0.09,91.38
1000723,1.56E+12,60.6,353.2,-22.5,3.579,3.505,36.0,34.7,4.86,95.31
1000725,1.56E+12,29.8,341.3,-22.5,3.453,3.385,37.0,34.5,6.33,115.87
1000727,1.55E+12,60.6,328.2,-22.5,3.321,3.258,37.0,34.4,25.23,60.39
1000728,1.57E+12,24.8,343.8,-22.5,3.479,3.410,37.0,34.6,5.67,109.07
1000732,1.57E+12,70.8,329.4,-22.5,3.328,3.266,35.9,32.9,4.97,113.28
1000735,1.56E+12,32.5,327.4,-22.5,3.312,3.251,33.0,30.7,5.14,108.40
1000737,1.56E+12,63.1,330.9,-22.5,3.357,3.283,37.0,35.2,6.65,63.91
1000738,1.56E+12,71.0,357.0,-22.5,3.617,3.549,33.0,30.3,3.17,81.78
1000740,1.57E+12,58.9,331.5,-22.5,3.350,3.290,33.6,32.0,5.71,89.97
1000743,1.55E+12,46.1,341.5,-22.5,3.453,3.386,37.0,34.0,5.41,109.97
1000747,1.55E+12,52.4,343.5,-22.5,3.478,3.407,33.0,29.6,2.27,73.80
1000749,1.57E+12,37.0,353.0,-22.5,3.571,3.506,34.0,30.4,21.58,104.35
1000750,1.55E+12,73.4,355.8,-22.5,3.603,3.535,36.0,34.1,3.79,83.97
1000751,1.56E+12,48.1,356.8,-22.5,3.598,3.542,37.0,35.1,2.87,96.28
1000754,1.56E+12,16.3,335.3,-44.3,3.384,3.325,37.0,35.4,0.62,66.73
1000755,1.57E+12,18.8,343.2,-22.5,3.476,3.407,36.0,32.2,5.15,85.18
1000760,1.55E+12,35.8,340.9,-22.5,3.440,3.383,37.0,33.1,10.08,60.24
1000761,1.55E+12,52.5,323.9,-22.5,3.269,3.211,36.0,33.6,21.50,63.25
1000762,1.55E+12,72.5,345.3,-22.5,3.491,3.430,33.2,31.4,9.32,75.91
1000763,1.57E+12,56.4,348.7,-22.5,3.517,3.467,37.0,35.6,5.39,98.58
1000764,1.55E+12,43.5,332.2,-22.5,3.364,3.301,36.8,35.1,3.84,67.34
1000770,1.56E+12,66.1,333.9,-22.5,3.378,3.318,36.4,32.6,24.63,103.60
1000776,1.55E+12,40.8,346.2,-22.5,3.494,3.435,33.2,29.3,3.96,119.18
1000782,1.56E+12,55.1,354.4,-22.5,3.575,3.518,34.4,32.0,5.38,89.11
1000783,1.56E+12,35.2,355.9,-22.5,3.603,3.537,33.0,30.1,5.48,91.30
1000784,1.56E+12,42.0,326.9,-44.4,3.311,3.241,35.3,32.3,23.06,94.40
1000786,1.56E+12,60.7,352.1,-22.5,3.551,3.494,32.3,30.4,7.78,109.71
1000788,1.56E+12,73.0,323.7,-22.5,3.278,3.215,37.0,34.3,3.45,68.41
1000789,1.57E+12,62.0,340.8,-22.5,3.442,3.381,33.0,32.0,8.72,88.69
1000791,1.57E+12,70.2,328.9,-22.5,3.325,3.263,36.3,34.3,1.91,62.03
1000793,1.57E+12,40.3,338.3,-22.5,3.422,3.358,33.6,30.7,3.97,77.42
1000794,1.55E+12,29.7,344.9,-42.8,3.489,3.422,33.0,31.9,3.66,114.76
1000796,1.55E+12,40.9,335.6,-22.5,3.396,3.332,35.4,32.7,3.27,62.64
1000799,1.55E+12,57.2,327.2,-22.5,3.315,3.250,37.0,34.3,5.95,82.60
1000801,1.56E+12,25.4,331.6,-22.5,3.361,3.291,34.8,32.2,2.71,107.78
1000803,1.56E+12,66.2,334.1,-22.5,3.388,3.311,35.6,31.9,9.11,82.02
1000805,1.55E+12,35.2,329.9,-22.5,3.344,3.271,37.0,33.8,4.66,62.31
1000807,1.55E+12,35.7,327.6,-22.5,3.318,3.250,34.2,33.0,22.36,76.76
1000808,1.57E+12,44.7,347.4,-22.5,3.523,3.444,37.0,35.3,0.38,62.50
1000809,1.56E+12,58.8,343.5,-22.5,3.475,3.412,37.0,35.4,3.60,66.04
1000814,1.55E+12,27.8,336.8,-22.5,3.401,3.343,33.0,30.5,14.57,86.02
1000815,1.57E+12,74.7,346.1,-22.5,3.496,3.438,33.5,31.0,7.53,71.86
1000816,1.56E+12,66.6,329.7,-22.5,3.344,3.274,32.6,28.7,4.39,90.60
1000817,1.55E+12,67.0,347.5,-22.5,3.510,3.448,35.9,32.1,6.21,105.96
1000818,1.55E+12,73.4,330.6,-22.5,3.336,3.285,33.0,30.2,1.46,102.65
1000820,1.55E+12,66.9,333.2,-22.5,3.380,3.308,32.2,30.7,25.00,70.35
1000824,1.56E+12,37.5,331.3,-22.5,3.345,3.286,36.0,33.4,4.67,90.44
1000825,1.55E+12,67.4,332.6,-22.5,3.372,3.304,33.2,30.4,4.77,95.20
1000827,1.56E+12,74.3,342.4,-22.5,3.457,3.399,33.0,29.4,4.13,99.57
1000831,1.56E+12,32.6,341.0,-22.5,3.450,3.389,32.1,29.7,6.10,82.24
1000833,1.55E+12,25.7,339.6,-22.5,3.435,3.369,33.0,30.5,25.44,80.83
1000834,1.55E+12,68.3,341.3,-22.5,3.448,3.388,33.0,29.7,3.77,114.43
1000835,1.56E+12,33.5,344.3,-22.5,3.474,3.420,34.6,32.7,7.46,80.17
1000840,1.55E+12,36.8,348.2,-22.5,3.519,3.454,35.5,32.0,4.30,77.77
1000843,1.55E+12,35.7,341.3,-22.5,3.456,3.386,37.0,34.3,12.94,70.20
1000849,1.56E+12,51.2,343.1,-22.5,3.465,3.409,36.0,33.0,8.25,62.15
1000852,1.55E+12,18.5,352.6,-22.5,3.557,3.498,35.3,33.7,3.43,85.36
1000857,1.57E+12,48.8,336.5,-22.5,3.412,3.340,37.0,34.9,2.33,99.47
1000858,1.56E+12,39.2,335.9,-22.5,3.396,3.332,36.0,32.6,5.11,106.62
1000860,1.56E+12,40.6,329.0,-22.5,3.331,3.270,36.0,35.0,8.38,103.85
1000862,1.57E+12,31.9,324.1,-22.5,3.290,3.213,33.0,30.9,9.79,97.90
1000865,1.56E+12,48.1,330.8,-22.5,3.350,3.280,36.5,34.9,7.90,110.01
1000868,1.56E+12,39.6,337.9,-22.5,3.425,3.353,36.0,33.7,6.28,77.98
1000869,1.57E+12,63.4,333.3,-22.5,3.381,3.304,32.2,30.6,6.79,71.39
1000872,1.55E+12,19.7,323.6,-22.5,3.276,3.213,37.0,35.7,7.22,114.75
1000874,1.56E+12,41.7,351.7,-22.5,3.562,3.488,37.0,35.8,8.83,79.23
1000875,1.56E+12,36.8,333.3,-22.5,3.376,3.308,33.0,29.3,8.22,115.99
1000877,1.56E+12,21.6,344.6,-22.5,3.486,3.422,37.0,35.4,3.59,93.22
1000878,1.55E+12,70.4,328.1,-45.5,3.316,3.257,36.8,34.6,5.92,88.58
1000879,1.56E+12,74.1,349.2,-22.5,3.529,3.463,36.8,34.3,4.72,78.35
1000882,1.55E+12,41.1,341.4,-22.5,3.456,3.391,36.0,33.3,3.13,71.27
1000885,1.55E+12,74.9,344.1,-22.5,3.484,3.418,35.0,33.0,2.95,61.02
1000887,1.55E+12,24.1,340.3,-22.5,3.435,3.380,37.0,34.3,11.62,75.87
1000889,1.55E+12,36.8,338.7,-22.5,3.420,3.362,34.3,31.3,5.08,102.12
1000890,1.56E+12,45.7,338.0,-22.5,3.421,3.357,33.7,31.9,1.51,91.50
1000892,1.56E+12,44.7,351.3,-22.5,3.549,3.488,37.0,33.1,0.03,72.90
1000895,1.57E+12,26.2,328.8,-22.5,3.335,3.259,33.0,29.3,23.65,109.55
1000897,1.55E+12,19.3,328.1,-22.5,3.320,3.258,37.0,33.6,9.91,88.81
1000898,1.55E+12,52.1,336.0,-22.5,3.393,3.332,36.0,34.3,4.31,74.39
1000901,1.57E+12,54.9,357.1,-22.5,3.603,3.545,33.0,31.0,13.48,60.62
1000903,1.56E+12,33.7,326.6,-22.5,3.310,3.238,35.0,32.3,23.78,99.39
1000905,1.57E+12,59.8,354.3,-22.5,3.584,3.515,37.0,35.7,2.66,97.11
1000907,1.55E+12,34.8,334.2,-22.5,3.372,3.312,37.0,33.2,24.64,115.04
1000909,1.55E+12,45.4,338.2,-22.5,3.429,3.356,37.0,33.1,25.22,63.52
1000910,1.55E+12,39.6,326.2,-22.5,3.305,3.234,37.0,34.3,8.63,107.18
1000911,1.57E+12,60.5,338.8,-22.5,3.425,3.362,35.7,33.0,0.75,111.13
1000912,1.56E+12,52.5,325.6,-22.5,3.303,3.234,36.4,34.1,6.38,115.61
1000914,1.56E+12,16.5,326.3,-22.5,3.304,3.241,33.8,30.3,5.10,101.01
1000916,1.56E+12,44.3,346.1,-22.5,3.505,3.441,36.8,35.3,2.38,89.63
1000919,1.55E+12,31.0,342.2,-22.5,3.462,3.399,33.8,31.3,4.19,118.73
1000921,1.56E+12,24.0,333.7,-22.5,3.368,3.315,33.0,30.1,10.94,103.97
1000923,1.55E+12,18.4,337.4,-22.5,3.417,3.350,36.9,34.0,6.24,87.83
1000924,1.57E+12,45.5,327.6,-53.9,3.315,3.251,35.1,31.2,4.32,97.61
1000926,1.55E+12,30.1,338.1,-22.5,3.430,3.352,33.0,30.1,8.20,94.30
1000927,1.56E+12,58.5,331.9,-22.5,3.359,3.289,34.6,32.2,11.29,69.57
1000929,1.56E+12,38.8,332.4,-22.5,3.359,3.299,36.0,32.6,4.60,99.12
1000930,1.55E+12,31.2,334.6,-22.5,3.383,3.325,37.0,33.5,3.51,84.35
1000931,1.56E+12,17.3,325.2,-22.5,3.289,3.226,34.6,31.5,1.84,72.12
1000937,1.55E+12,50.8,356.8,-22.5,3.612,3.539,37.0,34.1,6.60,118.12
1000938,1.56E+12,50.4,334.3,-22.5,3.382,3.317,35.1,31.2,3.00,86.69
1000942,1.56E+12,45.5,333.8,-22.5,3.370,3.313,33.0,29.1,4.49,84.69
1000943,1.56E+12,54.6,325.9,-22.5,3.303,3.237,34.4,31.9,7.18,108.64
1000944,1.57E+12,54.6,352.4,-22.5,3.567,3.503,36.0,34.1,23.48,100.19
1000945,1.56E+12,68.4,331.9,-22.5,3.364,3.298,37.0,33.5,4.55,84.77
1000948,1.55E+12,74.4,330.3,-22.5,3.343,3.273,37.0,33.4,8.51,118.01
1000949,1.56E+12,21.7,335.6,-22.5,3.394,3.334,36.0,32.4,3.91,74.99
1000950,1.55E+12,73.0,328.1,-39.6,3.319,3.255,33.2,31.8,6.90,68.38
1000954,1.57E+12,71.4,345.0,-22.5,3.485,3.429,37.0,33.2,2.48,118.35
1000956,1.55E+12,24.4,328.6,-22.5,3.321,3.265,34.2,32.9,1.80,67.83
1000957,1.56E+12,60.1,332.0,-51.6,3.364,3.295,33.7,30.1,5.84,87.19
1000958,1.57E+12,67.4,328.1,-57.8,3.322,3.255,37.0,34.6,2.51,107.35
1000959,1.55E+12,55.9,336.8,-57.0,3.418,3.344,36.4,34.9,10.28,97.29
1000960,1.57E+12,44.7,351.8,-22.5,3.562,3.493,33.1,30.6,2.30,86.63
1000961,1.55E+12,38.3,329.5,-22.5,3.336,3.271,37.0,33.4,5.64,98.89
1000962,1.56E+12,72.8,356.9,-22.5,3.604,3.541,33.0,31.2,6.12,70.61
1000963,1.56E+12,53.4,330.3,-22.5,3.338,3.276,37.0,35.0,5.41,76.35
1000964,1.55E+12,29.2,331.5,-22.5,3.349,3.295,35.2,31.7,2.35,111.19
1000967,1.57E+12,26.7,343.7,-22.5,3.468,3.414,34.0,32.6,4.96,68.74
1000969,1.57E+12,44.7,335.2,-22.5,3.391,3.328,36.1,35.1,8.32,67.23
1000973,1.57E+12,64.4,330.7,-22.5,3.341,3.286,32.5,28.5,1.03,112.66
1000978,1.55E+12,24.6,345.4,-22.5,3.498,3.429,37.0,34.5,5.03,106.24
1000981,1.55E+12,18.6,342.0,-22.5,3.452,3.400,32.2,31.0,7.76,70.41
1000983,1.55E+12,27.0,356.6,-22.5,3.603,3.537,36.0,33.5,6.78,90.22
1000985,1.55E+12,59.8,351.8,-22.5,3.555,3.495,37.0,33.3,8.39,94.23
1000987,1.56E+12,24.7,355.8,-22.5,3.599,3.536,37.0,35.8,6.69,91.21
1000988,1.56E+12,71.6,354.3,-22.5,3.577,3.520,33.5,30.7,10.80,77.48
1000990,1.56E+12,26.1,329.3,-22.5,3.336,3.273,33.0,31.9,0.02,73.43
1000994,1.56E+12,41.7,324.7,-22.5,3.282,3.225,36.5,34.7,1.81,117.54
1000996,1.55E+12,45.4,349.1,-22.5,3.537,3.466,37.0,35.4,1.67,67.26
1001002,1.57E+12,47.9,335.0,-22.5,3.397,3.324,36.6,34.3,12.09,60.56
1001003,1.57E+12,53.7,337.3,-22.5,3.413,3.348,36.6,34.6,3.23,93.01
1001005,1.55E+12,40.6,344.7,-22.5,3.494,3.426,33.0,29.9,8.43,77.52
1001006,1.56E+12,75.6,342.1,-22.5,3.455,3.395,37.0,35.0,5.00,75.98
1001008,1.56E+12,31.3,340.2,-22.5,3.440,3.382,33.0,30.3,3.87,105.07
1001013,1.56E+12,20.9,325.5,-22.5,3.294,3.225,37.0,35.1,7.19,118.16
1001019,1.56E+12,71.8,328.8,-22.5,3.329,3.262,37.0,34.1,4.35,108.13
1001022,1.57E+12,46.0,330.1,-22.5,3.338,3.274,36.9,34.8,9.57,61.76
1001023,1.55E+12,51.8,330.7,-22.5,3.341,3.278,37.0,35.4,21.63,103.39
1001024,1.55E+12,42.2,329.0,-22.5,3.339,3.264,33.0,29.5,1.98,114.25
1001028,1.56E+12,26.1,341.1,-22.5,3.449,3.387,34.2,31.7,4.67,94.20
1001031,1.55E+12,22.4,323.5,-22.5,3.272,3.214,32.4,30.5,3.07,110.46
1001033,1.55E+12,71.1,331.2,-22.5,3.357,3.282,33.0,30.1,8.64,71.68
1001034,1.56E+12,32.9,326.9,-22.5,3.319,3.247,35.6,33.2,4.68,72.34
1001035,1.56E+12,54.0,353.9,-22.5,3.573,3.511,35.6,34.4,0.98,115.05
1001036,1.55E+12,48.8,345.9,-22.5,3.501,3.432,36.0,32.7,24.49,85.72
1001038,1.57E+12,67.5,356.3,-22.5,3.595,3.541,37.0,34.3,1.85,70.82
1001042,1.57E+12,21.5,328.5,-22.5,3.320,3.262,37.0,34.8,21.62,69.85
1001043,1.57E+12,30.1,324.9,-22.5,3.298,3.223,37.0,35.5,0.06,78.75
1001052,1.56E+12,39.6,343.0,-22.5,3.476,3.407,35.1,33.3,24.43,115.60
1001053,1.56E+12,61.5,331.6,-22.5,3.365,3.293,36.3,33.8,6.31,84.76
1001054,1.55E+12,15.7,344.5,-22.5,3.493,3.422,36.0,34.5,4.62,96.51
1001059,1.55E+12,17.3,338.2,-22.5,3.426,3.355,37.0,35.7,5.04,102.17
1001060,1.57E+12,23.7,332.3,-22.5,3.365,3.298,37.0,33.9,6.03,103.76
1001061,1.57E+12,75.1,356.6,-22.5,3.600,3.544,37.0,36.0,23.10,90.63
1001065,1.55E+12,17.0,348.2,-22.5,3.516,3.455,37.0,33.9,24.74,96.50
1001066,1.56E+12,34.4,330.6,-22.5,3.338,3.283,37.0,34.8,5.79,73.86
1001069,1.55E+12,57.3,333.8,-22.5,3.368,3.317,35.9,32.7,0.79,96.21
1001070,1.55E+12,32.6,352.1,-22.5,3.553,3.500,37.0,34.1,7.70,79.11
1001072,1.56E+12,65.2,353.1,-22.5,3.570,3.508,36.4,33.1,25.29,88.07
1001073,1.57E+12,15.5,331.2,-22.5,3.352,3.291,37.0,35.2,3.42,75.96
1001074,1.55E+12,18.8,333.2,-22.5,3.375,3.310,37.0,34.5,10.07,117.04
1001079,1.57E+12,58.2,350.3,-73.4,3.536,3.474,37.0,34.1,0.75,65.30
1001081,1.56E+12,25.4,346.3,-22.5,3.494,3.441,32.5,31.0,6.00,80.24
1001086,1.55E+12,74.4,352.3,-22.5,3.569,3.503,36.5,33.2,3.62,108.01
1001088,1.56E+12,44.9,344.3,-22.5,3.476,3.420,37.0,35.6,7.16,104.26
1001089,1.56E+12,62.5,336.8,-22.5,3.401,3.342,35.6,33.4,22.05,111.59
1001091,1.56E+12,56.7,327.3,-22.5,3.317,3.247,37.0,33.2,9.81,97.46
1001092,1.56E+12,31.3,328.8,-22.5,3.324,3.268,36.4,33.6,5.01,112.55
1001096,1.55E+12,68.3,339.8,-22.5,3.433,3.368,33.0,29.4,1.95,119.90
1001099,1.57E+12,27.2,328.7,-22.5,3.321,3.261,35.2,32.6,8.64,94.53
1001104,1.57E+12,38.5,337.9,-22.5,3.411,3.352,36.0,34.9,7.38,74.06
1001105,1.56E+12,51.0,347.1,-22.5,3.514,3.445,33.7,30.0,6.25,110.46
1001106,1.57E+12,68.5,333.3,-22.5,3.378,3.308,34.1,32.0,24.76,81.79
1001109,1.55E+12,62.3,334.3,-22.5,3.387,3.322,37.0,35.8,25.89,71.40
1001114,1.56E+12,68.8,353.2,-22.5,3.572,3.504,33.0,31.6,11.73,77.62
1001115,1.55E+12,73.9,329.4,-22.5,3.335,3.265,36.0,33.6,24.06,83.48
1001116,1.55E+12,55.6,345.1,-22.5,3.498,3.428,36.0,33.9,5.50,99.69
1001117,1.56E+12,29.1,330.2,-22.5,3.337,3.281,33.9,30.1,8.75,104.87
1001118,1.56E+12,16.8,331.9,-22.5,3.351,3.293,37.0,35.2,18.71,90.37
1001122,1.55E+12,22.5,324.6,-22.5,3.281,3.224,36.0,33.5,4.93,79.91
1001123,1.55E+12,21.5,335.6,-22.5,3.400,3.331,37.0,35.3,4.71,87.73
1001125,1.56E+12,41.0,327.5,-22.5,3.311,3.249,33.0,31.2,7.25,103.65
1001128,1.57E+12,53.0,337.3,-22.5,3.416,3.345,36.1,32.6,6.96,102.80
1001132,1.55E+12,60.9,343.8,-22.5,3.481,3.414,35.5,34.3,0.56,62.32
1001135,1.56E+12,16.8,330.0,-22.5,3.334,3.279,33.0,29.8,17.11,88.82
1001138,1.57E+12,29.8,332.4,-22.5,3.361,3.303,36.1,32.3,5.97,78.49
1001140,1.56E+12,41.9,329.4,-22.5,3.341,3.267,34.0,30.6,5.68,100.81
1001142,1.55E+12,25.8,324.8,-22.5,3.290,3.218,33.0,31.4,6.28,63.24
1001143,1.55E+12,19.4,331.1,-22.5,3.344,3.287,33.0,30.8,0.40,68.29
1001144,1.55E+12,43.0,357.7,-22.5,3.607,3.554,36.0,33.8,22.29,91.24
1001147,1.55E+12,47.1,358.3,-22.5,3.625,3.562,36.9,34.0,6.19,86.54
1001148,1.56E+12,60.2,327.2,-22.5,3.317,3.250,33.0,30.7,23.67,118.49
1001149,1.55E+12,66.3,337.7,-22.5,3.411,3.355,35.5,34.5,6.19,106.46
1001150,1.55E+12,47.1,356.4,-22.5,3.614,3.540,33.4,30.9,10.52,66.89
1001151,1.56E+12,57.0,336.3,-22.5,3.406,3.342,33.0,30.4,6.28,101.09
1001152,1.57E+12,49.7,357.4,-22.5,3.618,3.552,37.0,33.1,9.66,117.86
1001153,1.56E+12,56.2,357.3,-22.5,3.616,3.553,37.0,35.0,6.22,119.61
1001155,1.56E+12,72.4,350.5,-22.5,3.541,3.483,37.0,34.6,5.72,112.54
1001157,1.56E+12,40.4,335.1,-22.5,3.391,3.329,33.0,31.7,2.28,100.38
1001159,1.57E+12,33.6,329.2,-22.5,3.338,3.266,37.0,34.8,11.70,115.53
1001160,1.57E+12,23.9,349.6,-54.4,3.533,3.470,33.0,30.1,7.36,73.11
1001161,1.55E+12,16.9,328.7,-22.5,3.328,3.264,32.8,31.2,4.85,93.33
1001165,1.56E+12,46.2,349.9,-22.5,3.548,3.477,35.9,32.6,5.75,116.30
1001167,1.55E+12,71.3,327.4,-42.7,3.323,3.249,33.9,31.8,5.18,74.97
1001168,1.57E+12,45.1,324.5,-22.5,3.285,3.225,34.8,30.9,2.99,61.22
1001173,1.56E+12,73.3,328.1,-22.5,3.317,3.259,36.0,33.5,9.18,102.02
1001175,1.56E+12,36.7,336.3,-22.5,3.396,3.338,33.0,30.4,2.74,111.45
1001177,1.57E+12,67.7,331.6,-22.5,3.362,3.286,33.0,29.9,6.29,60.12
1001178,1.57E+12,59.2,354.3,-22.5,3.588,3.520,37.0,35.0,5.19,116.74
1001181,1.55E+12,38.7,349.9,-22.5,3.532,3.473,37.0,34.6,13.23,95.87
1001182,1.56E+12,33.5,329.1,-22.5,3.332,3.265,37.0,35.5,4.78,65.01
1001184,1.56E+12,52.8,354.8,-22.5,3.586,3.526,37.0,35.8,3.75,64.58
1001186,1.57E+12,18.6,351.3,-22.5,3.559,3.490,33.0,29.4,6.27,107.00
1001189,1.56E+12,64.3,335.0,-22.5,3.398,3.323,36.0,32.3,6.18,115.29
1001190,1.55E+12,35.4,325.6,-22.5,3.296,3.230,34.7,31.0,10.42,72.92
1001192,1.55E+12,33.5,326.5,-22.5,3.298,3.244,32.5,29.6,4.95,84.21
1001193,1.57E+12,51.2,328.0,-22.5,3.316,3.251,32.5,30.6,3.36,84.75
1001197,1.56E+12,27.2,324.1,-22.5,3.289,3.212,33.3,30.0,11.70,96.19
1001201,1.57E+12,57.3,328.1,-22.5,3.313,3.252,37.0,34.2,1.91,81.03
1001202,1.56E+12,19.4,323.6,-22.5,3.267,3.208,37.0,35.0,4.54,70.35
1001205,1.55E+12,51.4,327.9,-22.5,3.315,3.256,33.9,32.3,9.36,79.00
1001206,1.56E+12,46.4,331.4,-22.5,3.347,3.287,34.4,33.3,21.46,103.55
1001207,1.56E+12,70.6,342.7,-22.5,3.465,3.401,37.0,34.4,5.04,90.72
1001209,1.55E+12,18.6,340.5,-22.5,3.435,3.383,33.2,31.3,7.07,116.00
1001211,1.55E+12,18.5,327.2,-22.5,3.307,3.247,33.0,29.2,6.17,77.91
1001212,1.57E+12,39.5,328.5,-22.5,3.322,3.263,37.0,35.6,7.21,108.17
1001213,1.55E+12,51.6,329.3,-22.5,3.324,3.270,37.0,33.3,6.21,76.06
1001214,1.56E+12,57.5,329.3,-22.5,3.338,3.271,37.0,33.6,4.81,63.97
1001215,1.56E+12,16.1,339.1,-27.9,3.422,3.369,34.6,31.7,1.12,107.40
1001216,1.55E+12,53.5,336.7,-22.5,3.403,3.338,33.6,30.5,4.06,105.52
1001218,1.57E+12,49.0,327.8,-22.5,3.314,3.256,32.8,31.6,7.59,111.52
1001220,1.56E+12,53.6,356.4,-22.5,3.614,3.542,36.0,34.0,6.97,66.27
1001222,1.56E+12,70.9,325.3,-72.1,3.302,3.223,36.6,33.9,12.41,71.38
1001225,1.57E+12,40.2,344.0,-22.5,3.488,3.414,37.0,33.7,4.90,106.47
1001230,1.57E+12,29.3,325.0,-22.5,3.296,3.223,36.0,33.6,24.79,66.31
1001231,1.57E+12,21.2,327.6,-22.5,3.312,3.253,36.1,33.0,4.08,92.34
1001232,1.55E+12,26.3,338.4,-22.5,3.431,3.359,37.0,34.3,5.10,117.20
1001233,1.55E+12,18.8,334.4,-22.5,3.383,3.324,35.0,32.2,3.69,91.73
1001234,1.56E+12,64.0,333.7,-22.5,3.380,3.309,37.0,34.8,4.92,89.66
1001236,1.56E+12,59.7,334.5,-22.5,3.386,3.321,35.1,32.1,5.32,119.91
1001238,1.57E+12,34.2,333.4,-22.5,3.382,3.310,36.0,33.2,0.68,115.34
1001239,1.56E+12,55.6,358.6,-22.5,3.620,3.566,33.0,29.3,3.35,114.67
